Date,Beach ID,Beach Name,Latitude,Longitude,Sampling Route,Sampling Type,Enterococcus_colonies,"Temperature
(°C)",pH ,Observations,Year,Month
2015-09-22,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,327.0,29.60,8.17,,2015,9
2015-09-22,RW-5,Balneario de Rincón,18.3409250,-67.2560056,Route 5: Añasco - Aguadilla,Routine,96.0,28.60,8.15,,2015,9
2015-09-22,RW-16,Balneario Crash Boat,18.4576667,-67.1637778,Route 5: Añasco - Aguadilla,Routine,384.0,29.90,8.20/8.19,,2015,9
2015-09-23,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Routine,960.0,28.60,7.91,,2015,9
2015-09-23,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,74.0,28.10,7.98,,2015,9
2015-09-23,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,4106.0,27.30,8.18,,2015,9
2015-09-23,RW-26,Playita del Condado,18.4611306,-66.0824083,Route 1: Dorado - Loíza,Routine,86.0,30.00,8.15/8.16,,2015,9
2015-10-06,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,Routine,83.0,29.90,7.97,,2015,10
2015-10-06,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,840.0,30.20,8.02,,2015,10
2015-10-06,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,84.0,30.20,7.97/7.98,,2015,10
2015-10-13,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,Re-sampling,72.0,30.30,Bacteriological Re-sampling,,2015,10
2015-10-13,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Re-sampling,144.0,29.20,Bacteriological Re-sampling,,2015,10
2015-10-19,RW-34,Playa del Hilton,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,96.0,30.70,8.15,,2015,10
2015-10-19,RW-36,Balneario de Salinas,17.9775889,-66.3324972,Route 3: Lajas - Salinas,Routine,109.0,31.10,8.12,,2015,10
2015-10-20,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.3990444,Route: 6: Arecibo – Vega Alta ,Routine,86.0,29.00,8.04,,2015,10
2015-10-20,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.4812500,-66.3406556,Route: 6: Arecibo – Vega Alta ,Routine,512.0,31.00,7.99/8.0,,2015,10
2015-10-20,RW-26,Playita del Condado,18.4611306,-66.0824083,Route 1: Dorado - Loíza,Routine,293.0,30.50,8.16,,2015,10
2015-10-20,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,355.0,29.40,7.96,,2015,10
2015-10-20,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,243.0,29.00,7.93/7.93,,2015,10
2015-10-06,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Re-sampling,529.0,28.10,Bacteriological Re-sampling,,2015,10
2015-10-06,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Re-sampling,73.0,28.60,Bacteriological Re-sampling,,2015,10
2015-10-06,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.3990444,Route: 6: Arecibo – Vega Alta ,Re-sampling,85.0,28.00,Bacteriological Re-sampling,,2015,10
2015-11-02,RW-14A,Playa Moja Casabe,17.9858100,-67.2145900,Route 4: Cabo Rojo,Routine,880.0,28.50,8,,2015,11
2015-11-02,RW-5,Balneario de Rincón,18.3409250,-67.2560056,Route 5: Añasco - Aguadilla,Routine,96.0,29.10,8.12,,2015,11
2015-11-03,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,473.0,27.50,7.86,,2015,11
2015-11-03,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,5172.0,27.80,8.03,,2015,11
2015-11-03,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,Routine,132.0,27.70,8,,2015,11
2015-11-03,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Routine,122.0,27.50,7.936,,2015,11
2015-11-03,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,24196.0,27.60,7.96,,2015,11
2015-11-03,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,933.0,28.80,8.07/8.08,,2015,11
2015-11-03,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo – Vega Alta ,Routine,839.0,28.50,8.11,,2015,11
2015-11-03,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.4812500,-66.3406556,Route: 6: Arecibo – Vega Alta ,Routine,631.0,28.10,8.13/8.13,,2015,11
2015-11-09,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.4812500,-66.3406556,Route: 6: Arecibo – Vega Alta ,RE-sampling,86.0,28.00,Bacteriological Re-sampling,,2015,11
2015-11-09,RW-7,Balneario Punta Guilarte,17.9620417,-66.0400000,Route 2: Arroyo - Luquillo,RE-sampling,278.0,26.50,Bacteriological Re-sampling,,2015,11
2015-11-09,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,RE-sampling,187.0,26.50,Bacteriological Re-sampling,,2015,11
2015-11-09,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,RE-sampling,246.0,27.20,Bacteriological Re-sampling,,2015,11
2015-11-09,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,RE-sampling,2187.0,0.46,Bacteriological Re-sampling,,2015,11
2015-11-16,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,86.0,28.30,7.9,,2015,11
2015-11-30,RW-10,Playa Santa,17.9377111,-66.9551972,Route 3: Lajas - Salinas,Routine,1785.0,27.00,8.05,,2015,11
2015-11-30,RW-9,Caña Gorda,17.9525306,-66.8845611,Route 3: Lajas - Salinas,Routine,241.0,27.50,8.07,,2015,11
2015-11-30,RW-34,Playa del Hilton,17.9692833,-66.6027278,Route 3: Lajas - Salinas,Routine,471.0,28.00,8.1,,2015,11
2015-11-30,RW-36,Balneario de Salinas,17.9775889,-66.3324972,Route 3: Lajas - Salinas,Routine,200.0,28.40,8.06,,2015,11
2015-11-30,RW-15,Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,Route 5: Añasco - Aguadilla,Routine,74.0,26.40,8.31,,2015,11
2015-11-30,RW-22,Pico de Piedra,18.3843639,-67.2129889,Route 5: Añasco - Aguadilla,Routine,95.0,27.40,8.22,,2015,11
2015-12-07,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,RE-sampling,7270.0,26.50,Bacteriological Re-sampling,,2015,12
2015-12-07,RW-4,Balneario Punta Santiago,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,RE-sampling,738.0,26.50,Bacteriological Re-sampling,,2015,12
2015-12-07,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,RE-sampling,24196.0,26.50,Bacteriological Re-sampling,,2015,12
2015-12-15,RW-6,Balneario de Patillas,17.9739750,-65.9889806,Route 2: Arroyo - Luquillo,Routine,97.0,26.40,8.06,,2015,12
2015-12-15,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,214.0,26.40,8.11,,2015,12
2015-12-15,RW-27,Ocean Park,18.4530111,-66.0488806,Route 1: Dorado - Loíza,Routine,327.0,27.20,8.07,,2015,12
